Host:;Alarm status:;Видимость;Агент установлен;Агент активен;Постоянная защита;Авт. распределение
2022-10-13 16:30:42;cp-smartconsole.ap17.mil.ru;1; Да; Нет; Нет; Нет; Нет
2022-10-13 16:30:42;drweb10updater.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;drweb115.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;drweb11up.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;iwdm01.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;iwdm02.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;iwdm04.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;n-amo-644-1.ap17.mil.ru;1; Да; Нет; Нет; Нет; Нет
2022-10-13 16:30:42;n-ugnyarb-319-1.ap17.mil.ru;1; Да; Нет; Нет; Нет; Нет
2022-10-13 16:30:42;sso01.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;sso03.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;t-bf-42155-1.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;t-guk-38.ap17.mil.ru;1; Да; Нет; Нет; Нет; Нет
2022-10-13 16:30:42;tm0569-002.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;tm0569-008.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;t-mto-1.ap17.mil.ru;1; Да; Нет; Нет; Нет; Нет
2022-10-13 16:30:42;tm-zvo-54777-03.ap17.mil.ru;1; Да; Нет; Нет; Нет; Нет
2022-10-13 16:30:42;t-vdv-28337-06.ap17.mil.ru;1; Да; Нет; Нет; Нет; Нет
2022-10-13 16:30:42;t-vk-kbr-6.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;t-vk-mishkin-1.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;t-vk-orel-1.ap17.mil.ru;1; Да; Нет; Нет; Нет; Нет
2022-10-13 16:30:42;t-vk-pallasov-2.ap17.mil.ru;1; Да; Нет; Нет; Нет; Нет
2022-10-13 16:30:42;t-vk-ryaz-sha-1.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;t-vk-sah-yjn-1.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;t-vk-sorochin-1.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;t-vkspb-kolp-1.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;t-vk-suzun-1.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;t-vk-test-010.ap17.mil.ru;1; Да; Нет; Нет; Нет; Нет
2022-10-13 16:30:42;t-vk-ufa-okt-1.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;t-vk-yasnen-1.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;t-vtu-43651-2.ap17.mil.ru;1; Да; Нет; Нет; Нет; Нет
2022-10-13 16:30:42;vcenter01.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;vcenter03.ap17.mil.ru;13; Да; Да; Да; Нет; Нет
2022-10-13 16:30:42;v-cjku-vvo-1.ap17.mil.ru;1; Да; Нет; Нет; Нет; Нет
